,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total
1550,"Nov 23, 2020","ANSYS Market BuyNov 23, 2020",$31.190.1 shares at $311.90,$31.1,$311.90,2020,Buy,ANSYS ,31.1
1551,"Nov 23, 2020","Johnson & Johnson Market BuyNov 23, 2020",$72.020.5 shares at $144.04,$72.0,$144.04,2020,Buy,Johnson & Johnson ,72.0
1552,"Nov 23, 2020","Adobe Market BuyNov 23, 2020",$45.630.1 shares at $456.30,$45.6,$456.30,2020,Buy,Adobe ,45.6
1553,"Nov 23, 2020","Amazon Market BuyNov 23, 2020","$306.640.1 shares at $3,066.40",$306.6,"$3,066.40",2020,Buy,Amazon ,306.6
1554,"Nov 23, 2020","Apple Market BuyNov 23, 2020",$28.600.25 shares at $114.40,$28.6,$114.40,2020,Buy,Apple ,28.6
1555,"Nov 23, 2020","Microsoft Market BuyNov 23, 2020",$104.340.5 shares at $208.68,$104.3,$208.68,2020,Buy,Microsoft ,104.3
1556,"Nov 23, 2020","Alphabet Class C Market BuyNov 23, 2020","$172.080.1 shares at $1,720.80",$172.0,"$1,720.80",2020,Buy,Alphabet Class C ,172.0
1557,"Nov 23, 2020","Tattooed Chef Market BuyNov 23, 2020",$15.441 share at $15.44,$15.4,$15.44,2020,Buy,Tattooed Chef ,15.4
1558,"Nov 23, 2020","American Tower Market BuyNov 23, 2020",$46.510.2 shares at $232.55,$46.5,$232.55,2020,Buy,American Tower ,46.5
1559,"Nov 20, 2020","Alphabet Class C Market BuyNov 20, 2020","$175.110.1 shares at $1,751.10",$175.1,"$1,751.10",2020,Buy,Alphabet Class C ,175.1
1560,"Nov 20, 2020","Microsoft Market BuyNov 20, 2020",$105.710.5 shares at $211.42,$105.7,$211.42,2020,Buy,Microsoft ,105.7
1561,"Nov 20, 2020","FirstEnergy Market BuyNov 20, 2020",$27.461 share at $27.46,$27.4,$27.46,2020,Buy,FirstEnergy ,27.4
1562,"Nov 19, 2020","Pfizer Market BuyNov 19, 2020",$35.981 share at $35.98,$35.9,$35.98,2020,Buy,Pfizer ,35.9
1563,"Nov 19, 2020","Johnson & Johnson Market BuyNov 19, 2020",$73.000.5 shares at $146.00,$73.0,$146.00,2020,Buy,Johnson & Johnson ,73.0
1564,"Nov 19, 2020","Eversource Market BuyNov 19, 2020",$43.950.5 shares at $87.90,$43.9,$87.90,2020,Buy,Eversource ,43.9
1565,"Nov 19, 2020","Atmos Energy Market BuyNov 19, 2020",$46.720.5 shares at $93.44,$46.7,$93.44,2020,Buy,Atmos Energy ,46.7
1566,"Nov 19, 2020","Utilities Select Sector SPDR Fund Market BuyNov 19, 2020",$63.261 share at $63.26,$63.2,$63.26,2020,Buy,Utilities Select Sector SPDR Fund ,63.2
1567,"Nov 19, 2020","Dominion Energy Market BuyNov 19, 2020",$19.940.25 shares at $79.76,$19.9,$79.76,2020,Buy,Dominion Energy ,19.9
1568,"Nov 19, 2020","Health Care Select Sector SPDR Fund Market BuyNov 19, 2020",$108.541 share at $108.54,$108.5,$108.54,2020,Buy,Health Care Select Sector SPDR Fund ,108.5
1572,"Nov 18, 2020","Tesla Market SellNov 18, 2020",$136.650.3 shares at $455.50,$136.6,$455.50,2020,Sell,Tesla ,136.6
1573,"Nov 18, 2020","Alibaba Market SellNov 18, 2020",$253.391 share at $253.39,$253.3,$253.39,2020,Sell,Alibaba ,253.3
1574,"Nov 18, 2020","Alibaba Market BuyNov 18, 2020",$63.390.25 shares at $253.56,$63.3,$253.56,2020,Buy,Alibaba ,63.3
1575,"Nov 17, 2020","Alibaba Market BuyNov 17, 2020",$64.240.25 shares at $256.96,$64.2,$256.96,2020,Buy,Alibaba ,64.2
1576,"Nov 17, 2020","Linde Market BuyNov 17, 2020",$25.180.1 shares at $251.80,$25.1,$251.80,2020,Buy,Linde ,25.1
1577,"Nov 17, 2020","Air Products & Chemicals Market BuyNov 17, 2020",$26.300.1 shares at $263.00,$26.3,$263.00,2020,Buy,Air Products & Chemicals ,26.3
1578,"Nov 17, 2020","Siemens Market BuyNov 17, 2020",$65.761 share at $65.76,$65.7,$65.76,2020,Buy,Siemens ,65.7
1579,"Nov 17, 2020","GoodRx Market BuyNov 17, 2020",$39.351 share at $39.35,$39.3,$39.35,2020,Buy,GoodRx ,39.3
1581,"Nov 16, 2020","FirstEnergy Market BuyNov 16, 2020",$28.501 share at $28.50,$28.5,$28.50,2020,Buy,FirstEnergy ,28.5
1582,"Nov 13, 2020","Costco Market SellNov 13, 2020",$75.660.2 shares at $378.30,$75.6,$378.30,2020,Sell,Costco ,75.6
1583,"Nov 13, 2020","Thor Industries Market SellNov 13, 2020",$87.201 share at $87.20,$87.2,$87.20,2020,Sell,Thor Industries ,87.2
1584,"Nov 13, 2020","Winnebago Market SellNov 13, 2020",$39.860.8 shares at $49.83,$39.8,$49.83,2020,Sell,Winnebago ,39.8
1585,"Nov 13, 2020","Medallia Market SellNov 13, 2020",$92.883 shares at $30.96,$92.8,$30.96,2020,Sell,Medallia ,92.8
1586,"Nov 13, 2020","Baxter Market SellNov 13, 2020",$8.250.1 shares at $82.50,$8.2,$82.50,2020,Sell,Baxter ,8.2
1587,"Nov 13, 2020","Air Lease Market SellNov 13, 2020",$17.530.5 shares at $35.06,$17.5,$35.06,2020,Sell,Air Lease ,17.5
1588,"Nov 13, 2020","AerCap Market SellNov 13, 2020",$17.740.5 shares at $35.48,$17.7,$35.48,2020,Sell,AerCap ,17.7
1589,"Nov 13, 2020","Dupont De Nemours Market SellNov 13, 2020",$30.860.5 shares at $61.72,$30.8,$61.72,2020,Sell,Dupont De Nemours ,30.8
1590,"Nov 13, 2020","Southwest Airlines Market SellNov 13, 2020",$43.851 share at $43.85,$43.8,$43.85,2020,Sell,Southwest Airlines ,43.8
1591,"Nov 13, 2020","Evergy Market SellNov 13, 2020",$141.502.5 shares at $56.60,$141.5,$56.60,2020,Sell,Evergy ,141.5
1592,"Nov 13, 2020","AT&T Market SellNov 13, 2020",$188.086.5 shares at $28.94,$188.0,$28.94,2020,Sell,AT&T ,188.0
1593,"Nov 13, 2020","Autodesk Market SellNov 13, 2020",$49.860.2 shares at $249.30,$49.8,$249.30,2020,Sell,Autodesk ,49.8
1594,"Nov 13, 2020","ANSYS Market SellNov 13, 2020",$65.270.2 shares at $326.35,$65.2,$326.35,2020,Sell,ANSYS ,65.2
1595,"Nov 13, 2020","Adobe Market SellNov 13, 2020",$140.310.3 shares at $467.70,$140.3,$467.70,2020,Sell,Adobe ,140.3
1596,"Nov 13, 2020","Kimberly-Clark Market SellNov 13, 2020",$139.391 share at $139.39,$139.3,$139.39,2020,Sell,Kimberly-Clark ,139.3
1597,"Nov 13, 2020","Dow Market SellNov 13, 2020",$51.901 share at $51.90,$51.9,$51.90,2020,Sell,Dow ,51.9
1598,"Nov 13, 2020","Merck Market SellNov 13, 2020",$40.700.5 shares at $81.40,$40.7,$81.40,2020,Sell,Merck ,40.7
1599,"Nov 13, 2020","CommScope Market SellNov 13, 2020",$107.4210 shares at $10.74,$107.4,$10.74,2020,Sell,CommScope ,107.4
1600,"Nov 13, 2020","Cisco Systems Market SellNov 13, 2020",$206.965 shares at $41.39,$206.9,$41.39,2020,Sell,Cisco Systems ,206.9
1601,"Nov 13, 2020","Pfizer Market SellNov 13, 2020",$76.942 shares at $38.47,$76.9,$38.47,2020,Sell,Pfizer ,76.9
1602,"Nov 13, 2020","Swire Pacific Limit SellNov 13, 2020",$399.6072 shares at $5.55,$399.6,$5.55,2020,Sell,Swire Pacific ,399.6
1604,"Nov 13, 2020","American Tower Market SellNov 13, 2020",$436.101.8 shares at $242.28,$436.1,$242.28,2020,Sell,American Tower ,436.1
1605,"Nov 13, 2020","Johnson & Johnson Market SellNov 13, 2020",$74.940.5 shares at $149.88,$74.9,$149.88,2020,Sell,Johnson & Johnson ,74.9
1606,"Nov 13, 2020","Johnson & Johnson Limit SellNov 13, 2020",$449.613 shares at $149.87,$449.6,$149.87,2020,Sell,Johnson & Johnson ,449.6
1607,"Nov 13, 2020","SP Funds S&P 500 Sharia Limit SellNov 13, 2020",$363.7515 shares at $24.25,$363.7,$24.25,2020,Sell,SP Funds S&P 500 Sharia ,363.7
1608,"Nov 13, 2020","Listed Funds Trust Wahed FTSE USA Shariah Limit SellNov 13, 2020",$315.1010 shares at $31.51,$315.1,$31.51,2020,Sell,Listed Funds Trust Wahed FTSE USA Shariah ,315.1
1609,"Nov 13, 2020","Apple Market SellNov 13, 2020",$177.951.5 shares at $118.63,$177.9,$118.63,2020,Sell,Apple ,177.9
1610,"Nov 13, 2020","Utilities Select Sector SPDR Fund Market SellNov 13, 2020",$343.585.2 shares at $66.07,$343.5,$66.07,2020,Sell,Utilities Select Sector SPDR Fund ,343.5
1611,"Nov 13, 2020","IBM Market SellNov 13, 2020",$818.397 shares at $116.91,$818.3,$116.91,2020,Sell,IBM ,818.3
1612,"Nov 13, 2020","Amazon Market SellNov 13, 2020","$620.400.2 shares at $3,102.00",$620.4,"$3,102.00",2020,Sell,Amazon ,620.4
1613,"Nov 13, 2020","Microsoft Market SellNov 13, 2020",$129.850.6 shares at $216.42,$129.8,$216.42,2020,Sell,Microsoft ,129.8
1614,"Nov 13, 2020","Microsoft Limit SellNov 13, 2020",$649.203 shares at $216.40,$649.2,$216.40,2020,Sell,Microsoft ,649.2
1615,"Nov 13, 2020","Health Care Select Sector SPDR Fund Market SellNov 13, 2020",$561.105 shares at $112.22,$561.1,$112.22,2020,Sell,Health Care Select Sector SPDR Fund ,561.1
1616,"Nov 13, 2020","Alphabet Class C Market SellNov 13, 2020","$1,776.531 share at $1,776.53","$1,776.5","$1,776.53",2020,Sell,Alphabet Class C ,1776.5
1617,"Nov 13, 2020","CommScope Market SellNov 13, 2020",$52.905 shares at $10.58,$52.9,$10.58,2020,Sell,CommScope ,52.9
1620,"Nov 13, 2020","Alibaba Market BuyNov 13, 2020",$38.690.15 shares at $257.93,$38.6,$257.93,2020,Buy,Alibaba ,38.6
1621,"Nov 13, 2020","Alibaba Market BuyNov 13, 2020",$25.820.1 shares at $258.20,$25.8,$258.20,2020,Buy,Alibaba ,25.8
1622,"Nov 13, 2020","CRISPR Market SellNov 13, 2020",$52.180.5 shares at $104.36,$52.1,$104.36,2020,Sell,CRISPR ,52.1
1624,"Nov 12, 2020","Air Products & Chemicals Market BuyNov 12, 2020",$26.840.1 shares at $268.40,$26.8,$268.40,2020,Buy,Air Products & Chemicals ,26.8
1626,"Nov 12, 2020","Air Products & Chemicals Market BuyNov 12, 2020",$27.340.1 shares at $273.40,$27.3,$273.40,2020,Buy,Air Products & Chemicals ,27.3
1627,"Nov 12, 2020","Evergy Market BuyNov 12, 2020",$27.900.5 shares at $55.80,$27.9,$55.80,2020,Buy,Evergy ,27.9
1632,"Nov 11, 2020","Pluralsight Market BuyNov 11, 2020",$14.901 share at $14.90,$14.9,$14.90,2020,Buy,Pluralsight ,14.9
1634,"Nov 10, 2020","Microsoft Market BuyNov 10, 2020",$21.050.1 shares at $210.50,$21.0,$210.50,2020,Buy,Microsoft ,21.0
1635,"Nov 10, 2020","Verizon Market SellNov 10, 2020",$61.031 share at $61.03,$61.0,$61.03,2020,Sell,Verizon ,61.0
1636,"Nov 10, 2020","Atmos Energy Market SellNov 10, 2020",$101.621 share at $101.62,$101.6,$101.62,2020,Sell,Atmos Energy ,101.6
1637,"Nov 10, 2020","Steelcase Market SellNov 10, 2020",$126.0910 shares at $12.61,$126.0,$12.61,2020,Sell,Steelcase ,126.0
1638,"Nov 10, 2020","Sempra Market SellNov 10, 2020",$67.320.5 shares at $134.64,$67.3,$134.64,2020,Sell,Sempra ,67.3
1639,"Nov 10, 2020","Materials Select Sector SPDR ETF Market SellNov 10, 2020",$35.050.5 shares at $70.10,$35.0,$70.10,2020,Sell,Materials Select Sector SPDR ETF ,35.0
1640,"Nov 10, 2020","Simply Good Foods Market SellNov 10, 2020",$113.555 shares at $22.71,$113.5,$22.71,2020,Sell,Simply Good Foods ,113.5
1641,"Nov 10, 2020","Union Pacific Market SellNov 10, 2020",$121.350.6 shares at $202.25,$121.3,$202.25,2020,Sell,Union Pacific ,121.3
1643,"Nov 10, 2020","International Airlines Group Market SellNov 10, 2020",$126.0135 shares at $3.60,$126.0,$3.60,2020,Sell,International Airlines Group ,126.0
1644,"Nov 10, 2020","Herman Miller Market SellNov 10, 2020",$180.455 shares at $36.09,$180.4,$36.09,2020,Sell,Herman Miller ,180.4
1645,"Nov 10, 2020","GoodRx Market BuyNov 10, 2020",$20.060.4 shares at $50.15,$20.0,$50.15,2020,Buy,GoodRx ,20.0
1646,"Nov 10, 2020","Linde Market SellNov 10, 2020",$78.230.3 shares at $260.77,$78.2,$260.77,2020,Sell,Linde ,78.2
1647,"Nov 10, 2020","Air Products & Chemicals Market SellNov 10, 2020",$31.350.1 shares at $313.50,$31.3,$313.50,2020,Sell,Air Products & Chemicals ,31.3
1648,"Nov 10, 2020","Dominion Energy Market SellNov 10, 2020",$21.400.25 shares at $85.60,$21.4,$85.60,2020,Sell,Dominion Energy ,21.4
1649,"Nov 10, 2020","Evergy Market SellNov 10, 2020",$59.101 share at $59.10,$59.1,$59.10,2020,Sell,Evergy ,59.1
1650,"Nov 10, 2020","NiSource Market SellNov 10, 2020",$24.761 share at $24.76,$24.7,$24.76,2020,Sell,NiSource ,24.7
1651,"Nov 10, 2020","Sempra Market SellNov 10, 2020",$66.960.5 shares at $133.92,$66.9,$133.92,2020,Sell,Sempra ,66.9
1652,"Nov 10, 2020","Adobe Market BuyNov 10, 2020",$44.810.1 shares at $448.10,$44.8,$448.10,2020,Buy,Adobe ,44.8
1653,"Nov 10, 2020","Alibaba Market BuyNov 10, 2020",$67.610.25 shares at $270.44,$67.6,$270.44,2020,Buy,Alibaba ,67.6
1654,"Nov 9, 2020","Redfin Market BuyNov 9, 2020",$39.661 share at $39.66,$39.6,$39.66,2020,Buy,Redfin ,39.6
1657,"Nov 9, 2020","Redfin Market BuyNov 9, 2020",$42.061 share at $42.06,$42.0,$42.06,2020,Buy,Redfin ,42.0
1658,"Nov 9, 2020","Simply Good Foods Market SellNov 9, 2020",$45.862 shares at $22.93,$45.8,$22.93,2020,Sell,Simply Good Foods ,45.8
1666,"Nov 9, 2020","Thor Industries Market BuyNov 9, 2020",$41.240.5 shares at $82.48,$41.2,$82.48,2020,Buy,Thor Industries ,41.2
1667,"Nov 9, 2020","Air Lease Market SellNov 9, 2020",$18.010.5 shares at $36.02,$18.0,$36.02,2020,Sell,Air Lease ,18.0
1668,"Nov 9, 2020","AerCap Market SellNov 9, 2020",$18.060.5 shares at $36.12,$18.0,$36.12,2020,Sell,AerCap ,18.0
1669,"Nov 9, 2020","Dow Market SellNov 9, 2020",$53.931 share at $53.93,$53.9,$53.93,2020,Sell,Dow ,53.9
1671,"Nov 9, 2020","Vornado Realty Trust Market SellNov 9, 2020",$8.210.2 shares at $41.05,$8.2,$41.05,2020,Sell,Vornado Realty Trust ,8.2
1672,"Nov 9, 2020","Listed Funds Trust Wahed FTSE USA Shariah Limit SellNov 9, 2020",$322.0010 shares at $32.20,$322.0,$32.20,2020,Sell,Listed Funds Trust Wahed FTSE USA Shariah ,322.0
1673,"Nov 9, 2020","Health Care Select Sector SPDR Fund Market SellNov 9, 2020",$565.435 shares at $113.09,$565.4,$113.09,2020,Sell,Health Care Select Sector SPDR Fund ,565.4
1674,"Nov 9, 2020","Utilities Select Sector SPDR Fund Market SellNov 9, 2020",$337.655 shares at $67.53,$337.6,$67.53,2020,Sell,Utilities Select Sector SPDR Fund ,337.6
1675,"Nov 9, 2020","Herman Miller Market SellNov 9, 2020",$176.655 shares at $35.33,$176.6,$35.33,2020,Sell,Herman Miller ,176.6
1676,"Nov 6, 2020","Pluralsight Market BuyNov 6, 2020",$29.132 shares at $14.57,$29.1,$14.57,2020,Buy,Pluralsight ,29.1
1677,"Nov 4, 2020","Nissan Market SellNov 4, 2020",$29.684 shares at $7.42,$29.6,$7.42,2020,Sell,Nissan ,29.6
1678,"Nov 4, 2020","Cardinal Health Market SellNov 4, 2020",$10.130.2 shares at $50.65,$10.1,$50.65,2020,Sell,Cardinal Health ,10.1
1679,"Nov 4, 2020","CVS Market SellNov 4, 2020",$61.271 share at $61.27,$61.2,$61.27,2020,Sell,CVS ,61.2
1680,"Nov 4, 2020","Walgreens Market SellNov 4, 2020",$37.431 share at $37.43,$37.4,$37.43,2020,Sell,Walgreens ,37.4
1681,"Nov 4, 2020","CRISPR Market SellNov 4, 2020",$48.120.5 shares at $96.24,$48.1,$96.24,2020,Sell,CRISPR ,48.1
1682,"Nov 4, 2020","Applied Materials Market SellNov 4, 2020",$6.390.1 shares at $63.90,$6.3,$63.90,2020,Sell,Applied Materials ,6.3
1683,"Nov 4, 2020","Pfizer Market SellNov 4, 2020",$76.002 shares at $38.00,$76.0,$38.00,2020,Sell,Pfizer ,76.0
1684,"Nov 4, 2020","Air Lease Market SellNov 4, 2020",$29.391 share at $29.39,$29.3,$29.39,2020,Sell,Air Lease ,29.3
1685,"Nov 4, 2020","AerCap Market SellNov 4, 2020",$27.131 share at $27.13,$27.1,$27.13,2020,Sell,AerCap ,27.1
1686,"Nov 4, 2020","Adobe Market SellNov 4, 2020",$48.770.1 shares at $487.70,$48.7,$487.70,2020,Sell,Adobe ,48.7
1687,"Nov 4, 2020","Linde Market SellNov 4, 2020",$70.640.3 shares at $235.47,$70.6,$235.47,2020,Sell,Linde ,70.6
1688,"Nov 4, 2020","Union Pacific Market SellNov 4, 2020",$114.170.6 shares at $190.28,$114.1,$190.28,2020,Sell,Union Pacific ,114.1
1689,"Nov 4, 2020","Merck Market SellNov 4, 2020",$41.110.5 shares at $82.22,$41.1,$82.22,2020,Sell,Merck ,41.1
1690,"Nov 4, 2020","Microsoft Market SellNov 4, 2020",$216.861 share at $216.86,$216.8,$216.86,2020,Sell,Microsoft ,216.8
1691,"Nov 4, 2020","Health Care Select Sector SPDR Fund Market SellNov 4, 2020",$110.461 share at $110.46,$110.4,$110.46,2020,Sell,Health Care Select Sector SPDR Fund ,110.4
1692,"Nov 4, 2020","Alphabet Class C Market SellNov 4, 2020","$528.790.3 shares at $1,762.63",$528.7,"$1,762.63",2020,Sell,Alphabet Class C ,528.7
1693,"Nov 4, 2020","Emcor Market SellNov 4, 2020",$14.360.2 shares at $71.80,$14.3,$71.80,2020,Sell,Emcor ,14.3
1694,"Nov 4, 2020","CommScope Market SellNov 4, 2020",$48.665 shares at $9.73,$48.6,$9.73,2020,Sell,CommScope ,48.6
1695,"Nov 4, 2020","American Tower Limit SellNov 4, 2020",$962.404 shares at $240.60,$962.4,$240.60,2020,Sell,American Tower ,962.4
1696,"Nov 4, 2020","American Tower Limit BuyNov 4, 2020",$481.202 shares at $240.60,$481.2,$240.60,2020,Buy,American Tower ,481.2
1697,"Nov 4, 2020","Health Care Select Sector SPDR Fund Market SellNov 4, 2020",$551.565 shares at $110.31,$551.5,$110.31,2020,Sell,Health Care Select Sector SPDR Fund ,551.5
1698,"Nov 3, 2020","Canon Market SellNov 3, 2020",$72.444 shares at $18.11,$72.4,$18.11,2020,Sell,Canon ,72.4
1699,"Nov 3, 2020","Alibaba Market SellNov 3, 2020",$171.740.6 shares at $286.23,$171.7,$286.23,2020,Sell,Alibaba ,171.7
1700,"Nov 3, 2020","Honda Limit SellNov 3, 2020",$24.831 share at $24.83,$24.8,$24.83,2020,Sell,Honda ,24.8
1701,"Nov 3, 2020","Alibaba Market BuyNov 3, 2020",$28.170.1 shares at $281.70,$28.1,$281.70,2020,Buy,Alibaba ,28.1
1702,"Nov 2, 2020","Amcor PLC Market SellNov 2, 2020",$21.642 shares at $10.82,$21.6,$10.82,2020,Sell,Amcor PLC ,21.6
1703,"Nov 2, 2020","Oneok Market SellNov 2, 2020",$8.820.3 shares at $29.40,$8.8,$29.40,2020,Sell,Oneok ,8.8
1704,"Nov 2, 2020","Naspers Market SellNov 2, 2020",$15.770.4 shares at $39.43,$15.7,$39.43,2020,Sell,Naspers ,15.7
1705,"Nov 2, 2020","Panasonic Limit SellNov 2, 2020",$46.855 shares at $9.37,$46.8,$9.37,2020,Sell,Panasonic ,46.8
1706,"Oct 30, 2020","American Tower Market BuyOct 30, 2020",$68.180.3 shares at $227.27,$68.1,$227.27,2020,Buy,American Tower ,68.1
1707,"Oct 30, 2020","American Tower Market BuyOct 30, 2020",$68.210.3 shares at $227.37,$68.2,$227.37,2020,Buy,American Tower ,68.2
1708,"Oct 30, 2020","Health Care Select Sector SPDR Fund Market BuyOct 30, 2020",$100.641 share at $100.64,$100.6,$100.64,2020,Buy,Health Care Select Sector SPDR Fund ,100.6
1709,"Oct 30, 2020","Johnson & Johnson Market BuyOct 30, 2020",$67.570.5 shares at $135.14,$67.5,$135.14,2020,Buy,Johnson & Johnson ,67.5
1710,"Oct 30, 2020","Steelcase Market BuyOct 30, 2020",$41.584 shares at $10.40,$41.5,$10.40,2020,Buy,Steelcase ,41.5
1711,"Oct 30, 2020","Kimberly-Clark Market BuyOct 30, 2020",$39.510.3 shares at $131.70,$39.5,$131.70,2020,Buy,Kimberly-Clark ,39.5
1712,"Oct 30, 2020","Intel Market BuyOct 30, 2020",$65.581.5 shares at $43.72,$65.5,$43.72,2020,Buy,Intel ,65.5
1713,"Oct 30, 2020","Swire Pacific Market BuyOct 30, 2020",$100.9822 shares at $4.59,$100.9,$4.59,2020,Buy,Swire Pacific ,100.9
1714,"Oct 30, 2020","Tesla Market BuyOct 30, 2020",$38.240.1 shares at $382.40,$38.2,$382.40,2020,Buy,Tesla ,38.2
1715,"Oct 30, 2020","AerCap Market BuyOct 30, 2020",$43.881.8 shares at $24.38,$43.8,$24.38,2020,Buy,AerCap ,43.8
1716,"Oct 30, 2020","Air Lease Market BuyOct 30, 2020",$40.121.5 shares at $26.75,$40.1,$26.75,2020,Buy,Air Lease ,40.1
1717,"Oct 30, 2020","FLY Leasing Market BuyOct 30, 2020",$58.9510 shares at $5.90,$58.9,$5.90,2020,Buy,FLY Leasing ,58.9
1718,"Oct 30, 2020","Redfin Market BuyOct 30, 2020",$42.341 share at $42.34,$42.3,$42.34,2020,Buy,Redfin ,42.3
1719,"Oct 30, 2020","Deposit from Checking (non-interest)Oct 30, 2020",$500.00,,,2020,Deposit,N/A,
1720,"Oct 30, 2020","Costco Market BuyOct 30, 2020",$71.690.2 shares at $358.45,$71.6,$358.45,2020,Buy,Costco ,71.6
1721,"Oct 30, 2020","Listed Funds Trust Wahed FTSE USA Shariah Limit BuyOct 30, 2020",$57.402 shares at $28.70,$57.4,$28.70,2020,Buy,Listed Funds Trust Wahed FTSE USA Shariah ,57.4
1722,"Oct 30, 2020","Air Lease Market BuyOct 30, 2020",$13.640.5 shares at $27.28,$13.6,$27.28,2020,Buy,Air Lease ,13.6
1723,"Oct 30, 2020","AerCap Market BuyOct 30, 2020",$4.980.2 shares at $24.90,$4.9,$24.90,2020,Buy,AerCap ,4.9
1724,"Oct 30, 2020","Adobe Market BuyOct 30, 2020",$44.550.1 shares at $445.50,$44.5,$445.50,2020,Buy,Adobe ,44.5
1725,"Oct 30, 2020","Apple Market BuyOct 30, 2020",$54.770.5 shares at $109.54,$54.7,$109.54,2020,Buy,Apple ,54.7
1726,"Oct 30, 2020","Autodesk Market BuyOct 30, 2020",$23.480.1 shares at $234.80,$23.4,$234.80,2020,Buy,Autodesk ,23.4
1727,"Oct 30, 2020","ANSYS Market BuyOct 30, 2020",$30.180.1 shares at $301.80,$30.1,$301.80,2020,Buy,ANSYS ,30.1
1728,"Oct 30, 2020","Microsoft Market BuyOct 30, 2020",$100.080.5 shares at $200.16,$100.0,$200.16,2020,Buy,Microsoft ,100.0
1729,"Oct 30, 2020","Adobe Market BuyOct 30, 2020",$44.960.1 shares at $449.60,$44.9,$449.60,2020,Buy,Adobe ,44.9
1730,"Oct 30, 2020","Entergy Market BuyOct 30, 2020",$20.150.2 shares at $100.75,$20.1,$100.75,2020,Buy,Entergy ,20.1
1731,"Oct 30, 2020","Simply Good Foods Limit BuyOct 30, 2020",$18.801 share at $18.80,$18.8,$18.80,2020,Buy,Simply Good Foods ,18.8
1732,"Oct 30, 2020","Johnson & Johnson Market BuyOct 30, 2020",$95.600.7 shares at $136.57,$95.6,$136.57,2020,Buy,Johnson & Johnson ,95.6
1733,"Oct 29, 2020","Fastly Market BuyOct 29, 2020",$13.580.2 shares at $67.90,$13.5,$67.90,2020,Buy,Fastly ,13.5
1734,"Oct 29, 2020","Entergy Market BuyOct 29, 2020",$20.200.2 shares at $101.00,$20.2,$101.00,2020,Buy,Entergy ,20.2
1735,"Oct 29, 2020","Simply Good Foods Market BuyOct 29, 2020",$18.831 share at $18.83,$18.8,$18.83,2020,Buy,Simply Good Foods ,18.8
1736,"Oct 29, 2020","Kimberly-Clark Market BuyOct 29, 2020",$13.110.1 shares at $131.10,$13.1,$131.10,2020,Buy,Kimberly-Clark ,13.1
1738,"Oct 29, 2020","Amcor PLC Market BuyOct 29, 2020",$10.411 share at $10.41,$10.4,$10.41,2020,Buy,Amcor PLC ,10.4
1739,"Oct 29, 2020","Atmos Energy Market BuyOct 29, 2020",$27.300.3 shares at $91.00,$27.3,$91.00,2020,Buy,Atmos Energy ,27.3
1740,"Oct 28, 2020","Adobe Market BuyOct 28, 2020",$45.910.1 shares at $459.10,$45.9,$459.10,2020,Buy,Adobe ,45.9
1741,"Oct 28, 2020","Materials Select Sector SPDR ETF Market BuyOct 28, 2020",$31.170.5 shares at $62.34,$31.1,$62.34,2020,Buy,Materials Select Sector SPDR ETF ,31.1
1742,"Oct 28, 2020","Union Pacific Market BuyOct 28, 2020",$34.800.2 shares at $174.00,$34.8,$174.00,2020,Buy,Union Pacific ,34.8
1743,"Oct 28, 2020","IBM Market BuyOct 28, 2020",$53.070.5 shares at $106.14,$53.0,$106.14,2020,Buy,IBM ,53.0
1744,"Oct 28, 2020","IBM Market BuyOct 28, 2020",$53.060.5 shares at $106.12,$53.0,$106.12,2020,Buy,IBM ,53.0
1745,"Oct 28, 2020","American Tower Market BuyOct 28, 2020",$23.050.1 shares at $230.50,$23.0,$230.50,2020,Buy,American Tower ,23.0
1746,"Oct 28, 2020","Autodesk Market BuyOct 28, 2020",$23.810.1 shares at $238.10,$23.8,$238.10,2020,Buy,Autodesk ,23.8
1747,"Oct 28, 2020","ANSYS Market BuyOct 28, 2020",$30.850.1 shares at $308.50,$30.8,$308.50,2020,Buy,ANSYS ,30.8
1748,"Oct 28, 2020","Listed Funds Trust Wahed FTSE USA Shariah Limit BuyOct 28, 2020",$29.151 share at $29.15,$29.1,$29.15,2020,Buy,Listed Funds Trust Wahed FTSE USA Shariah ,29.1
1749,"Oct 28, 2020","American Tower Market BuyOct 28, 2020",$23.180.1 shares at $231.80,$23.1,$231.80,2020,Buy,American Tower ,23.1
1750,"Oct 28, 2020","Health Care Select Sector SPDR Fund Market BuyOct 28, 2020",$102.811 share at $102.81,$102.8,$102.81,2020,Buy,Health Care Select Sector SPDR Fund ,102.8
1751,"Oct 28, 2020","Air Products & Chemicals Market BuyOct 28, 2020",$27.590.1 shares at $275.90,$27.5,$275.90,2020,Buy,Air Products & Chemicals ,27.5
1752,"Oct 28, 2020","Kimberly-Clark Market BuyOct 28, 2020",$26.610.2 shares at $133.05,$26.6,$133.05,2020,Buy,Kimberly-Clark ,26.6
1753,"Oct 28, 2020","Simply Good Foods Market BuyOct 28, 2020",$19.581 share at $19.58,$19.5,$19.58,2020,Buy,Simply Good Foods ,19.5
1754,"Oct 28, 2020","Listed Funds Trust Wahed FTSE USA Shariah Limit BuyOct 28, 2020",$29.301 share at $29.30,$29.3,$29.30,2020,Buy,Listed Funds Trust Wahed FTSE USA Shariah ,29.3
