,Date,Type,Total,Total for Shares,Price per share
1748,"Oct 28, 2020","Listed Funds Trust Wahed FTSE USA Shariah Limit BuyOct 28, 2020",$29.151 share at $29.15,$29.15,$29.15
1749,"Oct 28, 2020","American Tower Market BuyOct 28, 2020",$23.180.1 shares at $231.80,$23.180.1,$231.80
1750,"Oct 28, 2020","Health Care Select Sector SPDR Fund Market BuyOct 28, 2020",$102.811 share at $102.81,$102.81,$102.81
1751,"Oct 28, 2020","Air Products & Chemicals Market BuyOct 28, 2020",$27.590.1 shares at $275.90,$27.590.1,$275.90
1752,"Oct 28, 2020","Kimberly-Clark Market BuyOct 28, 2020",$26.610.2 shares at $133.05,$26.610.2,$133.05
1753,"Oct 28, 2020","Simply Good Foods Market BuyOct 28, 2020",$19.581 share at $19.58,$19.58,$19.58
1754,"Oct 28, 2020","Listed Funds Trust Wahed FTSE USA Shariah Limit BuyOct 28, 2020",$29.301 share at $29.30,$29.30,$29.30
1755,"Oct 28, 2020","Health Care Select Sector SPDR Fund Market BuyOct 28, 2020",$52.000.5 shares at $104.00,$52.000.5,$104.00
1756,"Oct 28, 2020","Fastly Market BuyOct 28, 2020",$21.600.3 shares at $72.00,$21.600.3,$72.00
1757,"Oct 28, 2020","Tesla Market BuyOct 28, 2020",$82.570.2 shares at $412.85,$82.570.2,$412.85
1758,"Oct 28, 2020","Union Pacific Market BuyOct 28, 2020",$35.310.2 shares at $176.55,$35.310.2,$176.55
1759,"Oct 28, 2020","Dow Market BuyOct 28, 2020",$22.470.5 shares at $44.94,$22.470.5,$44.94
1760,"Oct 28, 2020","Redfin Market BuyOct 28, 2020",$21.310.5 shares at $42.62,$21.310.5,$42.62
1761,"Oct 28, 2020","Linde Market BuyOct 28, 2020",$43.750.2 shares at $218.75,$43.750.2,$218.75
1762,"Oct 28, 2020","Simply Good Foods Market BuyOct 28, 2020",$19.801 share at $19.80,$19.80,$19.80
1763,"Oct 28, 2020","Intel Market BuyOct 28, 2020",$22.570.5 shares at $45.14,$22.570.5,$45.14
1764,"Oct 28, 2020","Johnson & Johnson Market BuyOct 28, 2020",$42.210.3 shares at $140.70,$42.210.3,$140.70
1765,"Oct 27, 2020","Linde Market BuyOct 27, 2020",$45.180.2 shares at $225.90,$45.180.2,$225.90
1766,"Oct 27, 2020","Dupont De Nemours Market BuyOct 27, 2020",$28.720.5 shares at $57.44,$28.720.5,$57.44
1767,"Oct 27, 2020","Intel Market BuyOct 27, 2020",$45.581 share at $45.58,$45.58,$45.58
1768,"Oct 27, 2020","Air Products & Chemicals Market BuyOct 27, 2020",$28.640.1 shares at $286.40,$28.640.1,$286.40
1769,"Oct 27, 2020","Kimberly-Clark Market BuyOct 27, 2020",$27.370.2 shares at $136.85,$27.370.2,$136.85
1770,"Oct 27, 2020","Union Pacific Market BuyOct 27, 2020",$35.960.2 shares at $179.80,$35.960.2,$179.80
1771,"Oct 27, 2020","Cisco Systems Market BuyOct 27, 2020",$37.101 share at $37.10,$37.10,$37.10
1772,"Oct 27, 2020","IBM Limit BuyOct 27, 2020",Canceled,,
1773,"Oct 27, 2020","Jumia Technologies Market SellOct 27, 2020",$17.551 share at $17.55,$17.55,$17.55
1774,"Oct 27, 2020","Union Pacific Market BuyOct 27, 2020",$36.290.2 shares at $181.45,$36.290.2,$181.45
1775,"Oct 26, 2020","Intel Market BuyOct 26, 2020",$32.480.7 shares at $46.40,$32.480.7,$46.40
1776,"Oct 26, 2020","Dow Market BuyOct 26, 2020",$23.510.5 shares at $47.02,$23.510.5,$47.02
1777,"Oct 26, 2020","Redfin Market BuyOct 26, 2020",$21.820.5 shares at $43.64,$21.820.5,$43.64
1778,"Oct 26, 2020","IBM Market BuyOct 26, 2020",$112.301 share at $112.30,$112.30,$112.30
1779,"Oct 26, 2020","Plug Power Market BuyOct 26, 2020",$14.511 share at $14.51,$14.51,$14.51
1780,"Oct 26, 2020","Microsoft Limit BuyOct 26, 2020",$211.001 share at $211.00,$211.00,$211.00
1781,"Oct 26, 2020","Cisco Systems Market BuyOct 26, 2020",$75.522 shares at $37.76,$75.522,$37.76
1782,"Oct 26, 2020","Johnson & Johnson Market BuyOct 26, 2020",$35.790.25 shares at $143.16,$35.790.25,$143.16
1783,"Oct 26, 2020","Union Pacific Market BuyOct 26, 2020",$36.970.2 shares at $184.85,$36.970.2,$184.85
1784,"Oct 23, 2020","Winnebago Limit BuyOct 23, 2020",Canceled,,
1785,"Oct 23, 2020","Winnebago Market BuyOct 23, 2020",$19.280.4 shares at $48.20,$19.280.4,$48.20
1786,"Oct 23, 2020","Thor Industries Market BuyOct 23, 2020",$21.680.25 shares at $86.72,$21.680.25,$86.72
1787,"Oct 23, 2020","Velodyne Lidar Market BuyOct 23, 2020",$13.271 share at $13.27,$13.27,$13.27
1788,"Oct 22, 2020","Kimberly-Clark Market BuyOct 22, 2020",$27.670.2 shares at $138.35,$27.670.2,$138.35
1789,"Oct 22, 2020","Dow Market BuyOct 22, 2020",$47.811 share at $47.81,$47.81,$47.81
1790,"Oct 22, 2020","Union Pacific Market BuyOct 22, 2020",$37.680.2 shares at $188.40,$37.680.2,$188.40
1791,"Oct 22, 2020","Linde Market BuyOct 22, 2020",$22.870.1 shares at $228.70,$22.870.1,$228.70
1792,"Oct 22, 2020","Cisco Systems Market BuyOct 22, 2020",$38.781 share at $38.78,$38.78,$38.78
1793,"Oct 21, 2020","CRISPR Market BuyOct 21, 2020",$92.821 share at $92.82,$92.82,$92.82
1794,"Oct 21, 2020","Redfin Market BuyOct 21, 2020",$45.181 share at $45.18,$45.18,$45.18
1795,"Oct 21, 2020","Southwest Airlines Market BuyOct 21, 2020",$39.901 share at $39.90,$39.90,$39.90
1796,"Oct 21, 2020","Thor Industries Market BuyOct 21, 2020",$22.620.25 shares at $90.48,$22.620.25,$90.48
1797,"Oct 21, 2020","Winnebago Market BuyOct 21, 2020",$20.520.4 shares at $51.30,$20.520.4,$51.30
1798,"Oct 21, 2020","Velodyne Lidar Limit BuyOct 21, 2020",Canceled,,
1799,"Oct 20, 2020","DiamondPeak Holdings Limit BuyOct 20, 2020",Canceled,,
1800,"Oct 20, 2020","Intel Market BuyOct 20, 2020",$34.700.65 shares at $53.38,$34.700.65,$53.38
1801,"Oct 20, 2020","Simply Good Foods Market BuyOct 20, 2020",$20.901 share at $20.90,$20.90,$20.90
1802,"Oct 20, 2020","Intel Market BuyOct 20, 2020",$34.920.65 shares at $53.72,$34.920.65,$53.72
1803,"Oct 20, 2020","Jumia Technologies Market SellOct 20, 2020",$16.961 share at $16.96,$16.96,$16.96
1804,"Oct 20, 2020","Verizon Market BuyOct 20, 2020",$28.530.5 shares at $57.06,$28.530.5,$57.06
1805,"Oct 20, 2020","IBM Limit BuyOct 20, 2020",Canceled,,
1806,"Oct 19, 2020","Cloudera Market BuyOct 19, 2020",$10.421 share at $10.42,$10.42,$10.42
1807,"Oct 19, 2020","Simply Good Foods Market BuyOct 19, 2020",$21.401 share at $21.40,$21.40,$21.40
1808,"Oct 19, 2020","Intel Market SellOct 19, 2020",$55.461 share at $55.46,$55.46,$55.46
1809,"Oct 19, 2020","Intel Market SellOct 19, 2020",$16.540.3 shares at $55.13,$16.540.3,$55.13
1810,"Oct 19, 2020","Velodyne Lidar Limit BuyOct 19, 2020",Canceled,,
1811,"Oct 19, 2020","SmileDirectClub Limit BuyOct 19, 2020",Canceled,,
1812,"Oct 19, 2020","AT&T Limit BuyOct 19, 2020",$54.002 shares at $27.00,$54.002,$27.00
1813,"Oct 17, 2020","Steelcase Limit BuyOct 17, 2020",Canceled,,
1814,"Oct 17, 2020","AerCap Limit BuyOct 17, 2020",Canceled,,
1815,"Oct 17, 2020","CommScope Limit BuyOct 17, 2020",$173.0020 shares at $8.65,$173.0020,$8.65
1816,"Oct 16, 2020","SmileDirectClub Limit BuyOct 16, 2020",Canceled,,
1817,"Oct 16, 2020","Align Technology Limit BuyOct 16, 2020",Canceled,,
1818,"Oct 16, 2020","Redfin Limit BuyOct 16, 2020",$47.501 share at $47.50,$47.50,$47.50
1819,"Oct 16, 2020","Jumia Technologies Limit SellOct 16, 2020",$15.501 share at $15.50,$15.50,$15.50
1820,"Oct 16, 2020","Simply Good Foods Market BuyOct 16, 2020",$21.841 share at $21.84,$21.84,$21.84
1821,"Oct 16, 2020","Fastly Limit BuyOct 16, 2020",$86.091 share at $86.09,$86.09,$86.09
1822,"Oct 15, 2020","Verra Mobility Market BuyOct 15, 2020",$10.221 share at $10.22,$10.22,$10.22
1823,"Oct 15, 2020","AT&T Market BuyOct 15, 2020",$27.211 share at $27.21,$27.21,$27.21
1824,"Oct 15, 2020","Forum Merger II Market BuyOct 15, 2020",$23.661 share at $23.66,$23.66,$23.66
1825,"Oct 15, 2020","Trine Acquisition Corp Market BuyOct 15, 2020",$21.282 shares at $10.64,$21.282,$10.64
1826,"Oct 15, 2020","Gores Metropoulos Market BuyOct 15, 2020",$21.162 shares at $10.58,$21.162,$10.58
1827,"Oct 15, 2020","American Tower Market BuyOct 15, 2020",$95.140.4 shares at $237.85,$95.140.4,$237.85
1828,"Oct 15, 2020","Entergy Market BuyOct 15, 2020",$62.640.6 shares at $104.40,$62.640.6,$104.40
1829,"Oct 15, 2020","Plug Power Market BuyOct 15, 2020",$16.621 share at $16.62,$16.62,$16.62
1830,"Oct 15, 2020","Verizon Market BuyOct 15, 2020",$28.930.5 shares at $57.86,$28.930.5,$57.86
1831,"Oct 15, 2020","Linde Market BuyOct 15, 2020",$22.860.1 shares at $228.60,$22.860.1,$228.60
1832,"Oct 14, 2020","NRG Energy Market SellOct 14, 2020",$33.881 share at $33.88,$33.88,$33.88
1833,"Oct 13, 2020","International Airlines Group Limit BuyOct 13, 2020",$12.505 shares at $2.50,$12.505,$2.50
1834,"Oct 13, 2020","Centene Market SellOct 13, 2020",$6.550.1 shares at $65.50,$6.550.1,$65.50
1835,"Oct 13, 2020","Toray Industries Market SellOct 13, 2020",$92.8010 shares at $9.28,$92.8010,$9.28
1836,"Oct 12, 2020","International Airlines Group Limit BuyOct 12, 2020",$26.2010 shares at $2.62,$26.2010,$2.62
1837,"Oct 12, 2020","Eli Lilly Market SellOct 12, 2020",$15.600.1 shares at $156.00,$15.600.1,$156.00
1838,"Oct 12, 2020","Social Capital Hedosophia Limit SellOct 12, 2020",$53.255 shares at $10.65,$53.255,$10.65
1839,"Oct 9, 2020","International Airlines Group Limit BuyOct 9, 2020",$27.0010 shares at $2.70,$27.0010,$2.70
1840,"Oct 8, 2020","Materials Select Sector SPDR ETF Limit BuyOct 8, 2020",Canceled,,
1841,"Oct 8, 2020","DTE Energy Market SellOct 8, 2020",$12.130.1 shares at $121.30,$12.130.1,$121.30
1842,"Oct 8, 2020","CMS Energy Market SellOct 8, 2020",$12.730.2 shares at $63.65,$12.730.2,$63.65
1843,"Oct 8, 2020","Alliant Energy Market SellOct 8, 2020",$21.950.4 shares at $54.88,$21.950.4,$54.88
1844,"Oct 8, 2020","Plug Power Market SellOct 8, 2020",$18.201 share at $18.20,$18.20,$18.20
1845,"Oct 8, 2020","Social Capital Hedosophia Market BuyOct 8, 2020",$42.504 shares at $10.63,$42.504,$10.63
1846,"Oct 8, 2020","Social Capital Hedosophia Market BuyOct 8, 2020",$10.631 share at $10.63,$10.63,$10.63
1847,"Oct 8, 2020","International Airlines Group Market BuyOct 8, 2020",$14.505 shares at $2.90,$14.505,$2.90
1848,"Oct 8, 2020","International Airlines Group Market BuyOct 8, 2020",$7.022 shares at $3.51,$7.022,$3.51
1849,"Oct 7, 2020","Swire Pacific Limit SellOct 7, 2020",Canceled,,
1850,"Oct 7, 2020","Pfizer Limit SellOct 7, 2020",Canceled,,
1851,"Oct 7, 2020","Intel Limit SellOct 7, 2020",Canceled,,
1852,"Oct 7, 2020","NextEra Energy Market SellOct 7, 2020",$222.460.75 shares at $296.61,$222.460.75,$296.61
1853,"Oct 7, 2020","CRISPR Market SellOct 7, 2020",$48.870.5 shares at $97.74,$48.870.5,$97.74
1854,"Oct 7, 2020","Tesla Limit BuyOct 7, 2020",Canceled,,
1855,"Oct 6, 2020","Hamilton Beach Limit BuyOct 6, 2020",Canceled,,
1856,"Oct 6, 2020","Cloudera Limit BuyOct 6, 2020",Canceled,,
1857,"Oct 6, 2020","Edison International Market SellOct 6, 2020",$104.231.9 shares at $54.86,$104.231.9,$54.86
1858,"Oct 6, 2020","American Electric Power Market SellOct 6, 2020",$89.571 share at $89.57,$89.57,$89.57
1859,"Oct 6, 2020","Public Service Enterprise Group Market SellOct 6, 2020",$28.370.5 shares at $56.74,$28.370.5,$56.74
1860,"Oct 6, 2020","CenterPoint Energy Market SellOct 6, 2020",$10.400.5 shares at $20.80,$10.400.5,$20.80
1861,"Oct 6, 2020","Pinnacle West Market SellOct 6, 2020",$41.240.5 shares at $82.48,$41.240.5,$82.48
1862,"Oct 6, 2020","Southern Market SellOct 6, 2020",$29.340.5 shares at $58.68,$29.340.5,$58.68
1863,"Oct 6, 2020","Entergy Market SellOct 6, 2020",$32.350.3 shares at $107.83,$32.350.3,$107.83
1864,"Oct 6, 2020","PPL Market SellOct 6, 2020",$14.550.5 shares at $29.10,$14.550.5,$29.10
1865,"Oct 6, 2020","Eversource Market SellOct 6, 2020",$100.321.1 shares at $91.20,$100.321.1,$91.20
1866,"Oct 6, 2020","Alibaba Market SellOct 6, 2020",$148.280.5 shares at $296.56,$148.280.5,$296.56
1867,"Oct 6, 2020","CenterPoint Energy Market SellOct 6, 2020",$10.370.5 shares at $20.74,$10.370.5,$20.74
1868,"Oct 6, 2020","Pinnacle West Market SellOct 6, 2020",$41.230.5 shares at $82.46,$41.230.5,$82.46
1869,"Oct 6, 2020","Southern Market SellOct 6, 2020",$29.320.5 shares at $58.64,$29.320.5,$58.64
1870,"Oct 6, 2020","Entergy Market SellOct 6, 2020",$32.320.3 shares at $107.73,$32.320.3,$107.73
1871,"Oct 6, 2020","FleetCor Market SellOct 6, 2020",$73.580.3 shares at $245.27,$73.580.3,$245.27
1872,"Oct 6, 2020","AES Market SellOct 6, 2020",$18.731 share at $18.73,$18.73,$18.73
1873,"Oct 6, 2020","Exelon Market SellOct 6, 2020",$150.464 shares at $37.62,$150.464,$37.62
1874,"Oct 6, 2020","CRISPR Market SellOct 6, 2020",$44.330.5 shares at $88.66,$44.330.5,$88.66
1875,"Oct 6, 2020","Blue Bird Market SellOct 6, 2020",$6.520.5 shares at $13.04,$6.520.5,$13.04
1876,"Oct 6, 2020","Plug Power Market SellOct 6, 2020",$16.181 share at $16.18,$16.18,$16.18
1877,"Oct 5, 2020","Utilities Select Sector SPDR Fund Limit SellOct 5, 2020",Canceled,,
1878,"Oct 5, 2020","HP Enterprise Limit SellOct 5, 2020",$116.4012 shares at $9.70,$116.4012,$9.70
1879,"Oct 5, 2020","American Tower Market BuyOct 5, 2020",$239.361 share at $239.36,$239.36,$239.36
1880,"Oct 5, 2020","UnitedHealth Market SellOct 5, 2020",$126.090.4 shares at $315.23,$126.090.4,$315.23
1881,"Oct 5, 2020","Hasbro Market SellOct 5, 2020",$8.300.1 shares at $83.00,$8.300.1,$83.00
1882,"Oct 5, 2020","HP Enterprise Limit SellOct 5, 2020",$106.3711 shares at $9.67,$106.3711,$9.67
1883,"Oct 5, 2020","Reynolds Consumer Products Limit BuyOct 5, 2020",Canceled,,
1884,"Oct 5, 2020","Hamilton Beach Limit BuyOct 5, 2020",Canceled,,
1885,"Oct 3, 2020","Nutrien Limit BuyOct 3, 2020",Canceled,,
1886,"Oct 2, 2020","Herman Miller Limit SellOct 2, 2020",Canceled,,
1887,"Oct 2, 2020","Autodesk Limit BuyOct 2, 2020",Canceled,,
1888,"Oct 2, 2020","ANSYS Limit BuyOct 2, 2020",Canceled,,
1889,"Oct 2, 2020","CRISPR Limit BuyOct 2, 2020",Canceled,,
1890,"Oct 1, 2020","National Grid Market SellOct 1, 2020",$117.622 shares at $58.81,$117.622,$58.81
1891,"Oct 1, 2020","Alphabet Class A Market SellOct 1, 2020","$1,493.521 share at $1,493.52","$1,493.52","$1,493.52"
1892,"Oct 1, 2020","JD.com Market SellOct 1, 2020",$78.551 share at $78.55,$78.55,$78.55
1893,"Oct 1, 2020","Alphabet Class A Limit SellOct 1, 2020",Canceled,,
1894,"Oct 1, 2020","Duke Energy Market SellOct 1, 2020",$66.810.75 shares at $89.08,$66.810.75,$89.08
1895,"Sep 30, 2020","Cloudflare Market SellSep 30, 2020",$12.460.3 shares at $41.53,$12.460.3,$41.53
1896,"Sep 30, 2020","Fastly Market SellSep 30, 2020",$28.480.3 shares at $94.93,$28.480.3,$94.93
1897,"Sep 30, 2020","American Water Market SellSep 30, 2020",$43.720.3 shares at $145.73,$43.720.3,$145.73
1898,"Sep 30, 2020","Redfin Market SellSep 30, 2020",$50.521 share at $50.52,$50.52,$50.52
1899,"Sep 30, 2020","Alibaba Market SellSep 30, 2020",$407.351.4 shares at $290.96,$407.351.4,$290.96
1900,"Sep 30, 2020","Alibaba Market BuySep 30, 2020",$203.650.7 shares at $290.93,$203.650.7,$290.93
1901,"Sep 30, 2020","International Airlines Group Market BuySep 30, 2020",$10.653 shares at $3.55,$10.653,$3.55
1902,"Sep 30, 2020","Duke Energy Market SellSep 30, 2020",$21.930.25 shares at $87.72,$21.930.25,$87.72
1903,"Sep 29, 2020","Steelcase Market BuySep 29, 2020",$29.463 shares at $9.82,$29.463,$9.82
1904,"Sep 29, 2020","Winnebago Market SellSep 29, 2020",$25.560.5 shares at $51.12,$25.560.5,$51.12
1905,"Sep 29, 2020","Western Digital Market SellSep 29, 2020",$19.870.5 shares at $39.74,$19.870.5,$39.74
1906,"Sep 29, 2020","Keysight Technologies Market SellSep 29, 2020",$10.080.1 shares at $100.80,$10.080.1,$100.80
1907,"Sep 28, 2020","PepsiCo Market SellSep 28, 2020",$27.690.2 shares at $138.45,$27.690.2,$138.45
1908,"Sep 28, 2020","Analog Devices Market SellSep 28, 2020",$57.850.5 shares at $115.70,$57.850.5,$115.70
1909,"Sep 28, 2020","Taiwan Semiconductor Manufacturing Market SellSep 28, 2020",$7.990.1 shares at $79.90,$7.990.1,$79.90
1910,"Sep 28, 2020","Exelon Limit SellSep 28, 2020",Canceled,,
1911,"Sep 28, 2020","Global Payments Market SellSep 28, 2020",$17.800.1 shares at $178.00,$17.800.1,$178.00
1912,"Sep 28, 2020","Stanley Black & Decker Market SellSep 28, 2020",$16.480.1 shares at $164.80,$16.480.1,$164.80
1913,"Sep 28, 2020","Automatic Data Processing Market SellSep 28, 2020",$55.110.4 shares at $137.78,$55.110.4,$137.78
1914,"Sep 28, 2020","Microsoft Market SellSep 28, 2020",$212.451 share at $212.45,$212.45,$212.45
1915,"Sep 28, 2020","Biogen Market SellSep 28, 2020",$42.550.15 shares at $283.67,$42.550.15,$283.67
1916,"Sep 25, 2020","CDW Market SellSep 25, 2020",$124.001.1 shares at $112.73,$124.001.1,$112.73
1917,"Sep 25, 2020","Consolidated Edison Market SellSep 25, 2020",$37.670.5 shares at $75.34,$37.670.5,$75.34
1918,"Sep 24, 2020","AT&T Market BuySep 24, 2020",$14.010.5 shares at $28.02,$14.010.5,$28.02
1919,"Sep 23, 2020","Alphabet Class C Market BuySep 23, 2020","$283.320.2 shares at $1,416.60",$283.320.2,"$1,416.60"
1920,"Sep 23, 2020","Deposit from Checking (non-interest)Sep 23, 2020",$300.00,,
1921,"Sep 23, 2020","Utilities Select Sector SPDR Fund Market BuySep 23, 2020",$11.470.2 shares at $57.35,$11.470.2,$57.35
1922,"Sep 23, 2020","Health Care Select Sector SPDR Fund Market BuySep 23, 2020",$40.950.4 shares at $102.38,$40.950.4,$102.38
1923,"Sep 23, 2020","Alphabet Class C Market BuySep 23, 2020","$142.590.1 shares at $1,425.90",$142.590.1,"$1,425.90"
1924,"Sep 23, 2020","Utilities Select Sector SPDR Fund Market BuySep 23, 2020",$114.902 shares at $57.45,$114.902,$57.45
1925,"Sep 23, 2020","Deposit from Checking (non-interest)Sep 23, 2020",$300.00,,
1926,"Sep 23, 2020","Listed Funds Trust Wahed FTSE USA Shariah Market BuySep 23, 2020",$29.421 share at $29.42,$29.42,$29.42
1927,"Sep 23, 2020","American Tower Market BuySep 23, 2020",$23.990.1 shares at $239.90,$23.990.1,$239.90
1928,"Sep 23, 2020","Utilities Select Sector SPDR Fund Market BuySep 23, 2020",$57.741 share at $57.74,$57.74,$57.74
1929,"Sep 23, 2020","Deposit from Checking (non-interest)Sep 23, 2020",$120.00,,
1930,"Sep 21, 2020","Johnson & Johnson Market BuySep 21, 2020",$21.580.15 shares at $143.87,$21.580.15,$143.87
1931,"Sep 21, 2020","UnitedHealth Market BuySep 21, 2020",$29.380.1 shares at $293.80,$29.380.1,$293.80
1932,"Sep 21, 2020","Edison International Market BuySep 21, 2020",$25.130.5 shares at $50.26,$25.130.5,$50.26
1933,"Sep 21, 2020","Alphabet Class A Market BuySep 21, 2020","$140.620.1 shares at $1,406.20",$140.620.1,"$1,406.20"
1934,"Sep 21, 2020","Redfin Market BuySep 21, 2020",$11.210.25 shares at $44.84,$11.210.25,$44.84
1935,"Sep 21, 2020","Alphabet Class A Market BuySep 21, 2020","$140.860.1 shares at $1,408.60",$140.860.1,"$1,408.60"
1936,"Sep 21, 2020","International Airlines Group Market SellSep 21, 2020",$252.0035 shares at $7.20,$252.0035,$7.20
1937,"Sep 21, 2020","International Airlines Group Limit SellSep 21, 2020",Canceled,,
1938,"Sep 21, 2020","International Airlines Group Limit SellSep 21, 2020",Canceled,,
1939,"Sep 21, 2020","Amazon Market BuySep 21, 2020","$290.100.1 shares at $2,901.00",$290.100.1,"$2,901.00"
1940,"Sep 21, 2020","Listed Funds Trust Wahed FTSE USA Shariah Market BuySep 21, 2020",$58.342 shares at $29.17,$58.342,$29.17
1941,"Sep 21, 2020","SP Funds S&P 500 Sharia Market BuySep 21, 2020",$110.245 shares at $22.05,$110.245,$22.05
1942,"Sep 21, 2020","Microsoft Market BuySep 21, 2020",$98.330.5 shares at $196.66,$98.330.5,$196.66
1943,"Sep 21, 2020","Health Care Select Sector SPDR Fund Market BuySep 21, 2020",$51.030.5 shares at $102.06,$51.030.5,$102.06
1944,"Sep 21, 2020","Alphabet Class C Market BuySep 21, 2020","$142.270.1 shares at $1,422.70",$142.270.1,"$1,422.70"
1945,"Sep 21, 2020","Alphabet Class A Market BuySep 21, 2020","$142.280.1 shares at $1,422.80",$142.280.1,"$1,422.80"
1946,"Sep 21, 2020","Deposit from Checking (non-interest)Sep 21, 2020","$1,000.00",,
1947,"Sep 21, 2020","Toray Industries Limit SellSep 21, 2020",Canceled,,
1948,"Sep 21, 2020","American Tower Market BuySep 21, 2020",$72.690.3 shares at $242.30,$72.690.3,$242.30
1949,"Sep 21, 2020","Health Care Select Sector SPDR Fund Market BuySep 21, 2020",$51.460.5 shares at $102.92,$51.460.5,$102.92
1950,"Sep 18, 2020","Alphabet Class A Market BuySep 18, 2020","$144.270.1 shares at $1,442.70",$144.270.1,"$1,442.70"
1951,"Sep 18, 2020","Apple Market BuySep 18, 2020",$26.590.25 shares at $106.36,$26.590.25,$106.36
1952,"Sep 18, 2020","Pluralsight Market BuySep 18, 2020",$16.601 share at $16.60,$16.60,$16.60
1953,"Sep 18, 2020","Coca-Cola FEMSA Limit SellSep 18, 2020",$250.026 shares at $41.67,$250.026,$41.67
1954,"Sep 18, 2020","Microsoft Market BuySep 18, 2020",$99.110.5 shares at $198.22,$99.110.5,$198.22
1955,"Sep 18, 2020","Alphabet Class C Market BuySep 18, 2020","$145.560.1 shares at $1,455.60",$145.560.1,"$1,455.60"
1956,"Sep 18, 2020","Toray Industries Limit SellSep 18, 2020",Canceled,,
1957,"Sep 18, 2020","Nissan Limit SellSep 18, 2020",Canceled,,
1958,"Sep 18, 2020","Redfin Market BuySep 18, 2020",$11.650.25 shares at $46.60,$11.650.25,$46.60
1959,"Sep 18, 2020","Alphabet Class C Market BuySep 18, 2020","$207.010.14 shares at $1,478.64",$207.010.14,"$1,478.64"
1960,"Sep 18, 2020","AES Limit SellSep 18, 2020",$19.001 share at $19.00,$19.00,$19.00
1961,"Sep 18, 2020","Tencent Market SellSep 18, 2020",$67.361 share at $67.36,$67.36,$67.36
1962,"Sep 17, 2020","Martin Marietta Market SellSep 17, 2020",$158.950.7 shares at $227.07,$158.950.7,$227.07
1963,"Sep 17, 2020","Micron Technology Limit SellSep 17, 2020",$50.501 share at $50.50,$50.50,$50.50
1964,"Sep 17, 2020","Toray Industries Limit SellSep 17, 2020",Canceled,,
1965,"Sep 17, 2020","Amazon Market BuySep 17, 2020","$299.190.1 shares at $2,991.90",$299.190.1,"$2,991.90"
1966,"Sep 17, 2020","Herman Miller Limit SellSep 17, 2020",$70.002 shares at $35.00,$70.002,$35.00
1967,"Sep 17, 2020","Alphabet Class C Market BuySep 17, 2020","$147.890.1 shares at $1,478.90",$147.890.1,"$1,478.90"
1968,"Sep 17, 2020","American Tower Market BuySep 17, 2020",$50.180.2 shares at $250.90,$50.180.2,$250.90
1969,"Sep 17, 2020","Herman Miller Market SellSep 17, 2020",$99.593 shares at $33.20,$99.593,$33.20
1970,"Sep 17, 2020","Health Care Select Sector SPDR Fund Market BuySep 17, 2020",$105.031 share at $105.03,$105.03,$105.03
1971,"Sep 17, 2020","Apple Market BuySep 17, 2020",$27.440.25 shares at $109.76,$27.440.25,$109.76
1972,"Sep 17, 2020","Microsoft Limit BuySep 17, 2020",$201.251 share at $201.25,$201.25,$201.25
1973,"Sep 17, 2020","Alphabet Class A Market BuySep 17, 2020","$177.540.12 shares at $1,479.50",$177.540.12,"$1,479.50"
1974,"Sep 17, 2020","Herman Miller Market SellSep 17, 2020",$122.824 shares at $30.71,$122.824,$30.71
1975,"Sep 17, 2020","Steelcase Market BuySep 17, 2020",$22.562 shares at $11.28,$22.562,$11.28
1976,"Sep 17, 2020","CRISPR Market BuySep 17, 2020",$57.850.7 shares at $82.64,$57.850.7,$82.64
1977,"Sep 17, 2020","Pluralsight Market BuySep 17, 2020",$17.181 share at $17.18,$17.18,$17.18
1978,"Sep 17, 2020","Medallia Market BuySep 17, 2020",$26.831 share at $26.83,$26.83,$26.83
1979,"Sep 16, 2020","Martin Marietta Market SellSep 16, 2020",$67.210.3 shares at $224.03,$67.210.3,$224.03
1980,"Sep 16, 2020","Winnebago Market BuySep 16, 2020",$24.310.5 shares at $48.62,$24.310.5,$48.62
1981,"Sep 16, 2020","Apple Market BuySep 16, 2020",$28.370.25 shares at $113.48,$28.370.25,$113.48
1982,"Sep 16, 2020","Micron Technology Market SellSep 16, 2020",$30.380.6 shares at $50.63,$30.380.6,$50.63
1983,"Sep 16, 2020","Herman Miller Market SellSep 16, 2020",$26.761 share at $26.76,$26.76,$26.76
1984,"Sep 15, 2020","Stanley Black & Decker Market SellSep 15, 2020",$32.830.2 shares at $164.15,$32.830.2,$164.15
1985,"Sep 15, 2020","ServiceNow Market SellSep 15, 2020",$46.810.1 shares at $468.10,$46.810.1,$468.10
1986,"Sep 15, 2020","Abbott Market SellSep 15, 2020",$10.730.1 shares at $107.30,$10.730.1,$107.30
1987,"Sep 15, 2020","Medallia Market BuySep 15, 2020",$29.111 share at $29.11,$29.11,$29.11
1988,"Sep 15, 2020","Cerner Market SellSep 15, 2020",$14.450.2 shares at $72.25,$14.450.2,$72.25
1989,"Sep 15, 2020","Mylan Market SellSep 15, 2020",$16.161 share at $16.16,$16.16,$16.16
1990,"Sep 15, 2020","Baidu Market SellSep 15, 2020",$49.490.4 shares at $123.73,$49.490.4,$123.73
1991,"Sep 15, 2020","Aptiv Market SellSep 15, 2020",$8.740.1 shares at $87.40,$8.740.1,$87.40
