,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Sell?,Dividend?,Buy?,
1556,23-Nov-20,"Alphabet Class C Market BuyNov 23, 2020","$172.080.1 shares at $1,720.80",172.00,"$1,720.80 ",2020,Buy,Alphabet Class C ,172,0,0,172,
1557,23-Nov-20,"Tattooed Chef Market BuyNov 23, 2020",$15.441 share at $15.44,15.40,$15.44 ,2020,Buy,Tattooed Chef ,15.4,0,0,15.4,
1558,23-Nov-20,"American Tower Market BuyNov 23, 2020",$46.510.2 shares at $232.55,46.50,$232.55 ,2020,Buy,American Tower ,46.5,0,0,46.5,
1559,20-Nov-20,"Alphabet Class C Market BuyNov 20, 2020","$175.110.1 shares at $1,751.10",175.10,"$1,751.10 ",2020,Buy,Alphabet Class C ,175.1,0,0,175.1,
1560,20-Nov-20,"Microsoft Market BuyNov 20, 2020",$105.710.5 shares at $211.42,105.70,$211.42 ,2020,Buy,Microsoft ,105.7,0,0,105.7,
1561,20-Nov-20,"FirstEnergy Market BuyNov 20, 2020",$27.461 share at $27.46,27.40,$27.46 ,2020,Buy,FirstEnergy ,27.4,0,0,27.4,
1562,19-Nov-20,"Pfizer Market BuyNov 19, 2020",$35.981 share at $35.98,35.90,$35.98 ,2020,Buy,Pfizer ,35.9,0,0,35.9,
1563,19-Nov-20,"Johnson & Johnson Market BuyNov 19, 2020",$73.000.5 shares at $146.00,73.00,$146.00 ,2020,Buy,Johnson & Johnson ,73,0,0,73,
1564,19-Nov-20,"Eversource Market BuyNov 19, 2020",$43.950.5 shares at $87.90,43.90,$87.90 ,2020,Buy,Eversource ,43.9,0,0,43.9,
1565,19-Nov-20,"Atmos Energy Market BuyNov 19, 2020",$46.720.5 shares at $93.44,46.70,$93.44 ,2020,Buy,Atmos Energy ,46.7,0,0,46.7,
1566,19-Nov-20,"Utilities Select Sector SPDR Fund Market BuyNov 19, 2020",$63.261 share at $63.26,63.20,$63.26 ,2020,Buy,Utilities Select Sector SPDR Fund ,63.2,0,0,63.2,
1567,19-Nov-20,"Dominion Energy Market BuyNov 19, 2020",$19.940.25 shares at $79.76,19.90,$79.76 ,2020,Buy,Dominion Energy ,19.9,0,0,19.9,
1568,19-Nov-20,"Health Care Select Sector SPDR Fund Market BuyNov 19, 2020",$108.541 share at $108.54,108.50,$108.54 ,2020,Buy,Health Care Select Sector SPDR Fund ,108.5,0,0,108.5,
1572,18-Nov-20,"Tesla Market SellNov 18, 2020",$136.650.3 shares at $455.50,136.60,$455.50 ,2020,Sell,Tesla ,136.6,-136.6,0,0,
1573,18-Nov-20,"Alibaba Market SellNov 18, 2020",$253.391 share at $253.39,253.30,$253.39 ,2020,Sell,Alibaba ,253.3,-253.3,0,0,
1574,18-Nov-20,"Alibaba Market BuyNov 18, 2020",$63.390.25 shares at $253.56,63.30,$253.56 ,2020,Buy,Alibaba ,63.3,0,0,63.3,
1575,17-Nov-20,"Alibaba Market BuyNov 17, 2020",$64.240.25 shares at $256.96,64.20,$256.96 ,2020,Buy,Alibaba ,64.2,0,0,64.2,
1576,17-Nov-20,"Linde Market BuyNov 17, 2020",$25.180.1 shares at $251.80,25.10,$251.80 ,2020,Buy,Linde ,25.1,0,0,25.1,
1577,17-Nov-20,"Air Products & Chemicals Market BuyNov 17, 2020",$26.300.1 shares at $263.00,26.30,$263.00 ,2020,Buy,Air Products & Chemicals ,26.3,0,0,26.3,
1578,17-Nov-20,"Siemens Market BuyNov 17, 2020",$65.761 share at $65.76,65.70,$65.76 ,2020,Buy,Siemens ,65.7,0,0,65.7,
1579,17-Nov-20,"GoodRx Market BuyNov 17, 2020",$39.351 share at $39.35,39.30,$39.35 ,2020,Buy,GoodRx ,39.3,0,0,39.3,
1581,16-Nov-20,"FirstEnergy Market BuyNov 16, 2020",$28.501 share at $28.50,28.50,$28.50 ,2020,Buy,FirstEnergy ,28.5,0,0,28.5,
1582,13-Nov-20,"Costco Market SellNov 13, 2020",$75.660.2 shares at $378.30,75.60,$378.30 ,2020,Sell,Costco ,75.6,-75.6,0,0,
1583,13-Nov-20,"Thor Industries Market SellNov 13, 2020",$87.201 share at $87.20,87.20,$87.20 ,2020,Sell,Thor Industries ,87.2,-87.2,0,0,
1584,13-Nov-20,"Winnebago Market SellNov 13, 2020",$39.860.8 shares at $49.83,39.80,$49.83 ,2020,Sell,Winnebago ,39.8,-39.8,0,0,
1585,13-Nov-20,"Medallia Market SellNov 13, 2020",$92.883 shares at $30.96,92.80,$30.96 ,2020,Sell,Medallia ,92.8,-92.8,0,0,
1586,13-Nov-20,"Baxter Market SellNov 13, 2020",$8.250.1 shares at $82.50,8.20,$82.50 ,2020,Sell,Baxter ,8.2,-8.2,0,0,
1587,13-Nov-20,"Air Lease Market SellNov 13, 2020",$17.530.5 shares at $35.06,17.50,$35.06 ,2020,Sell,Air Lease ,17.5,-17.5,0,0,
1588,13-Nov-20,"AerCap Market SellNov 13, 2020",$17.740.5 shares at $35.48,17.70,$35.48 ,2020,Sell,AerCap ,17.7,-17.7,0,0,
1589,13-Nov-20,"Dupont De Nemours Market SellNov 13, 2020",$30.860.5 shares at $61.72,30.80,$61.72 ,2020,Sell,Dupont De Nemours ,30.8,-30.8,0,0,
1590,13-Nov-20,"Southwest Airlines Market SellNov 13, 2020",$43.851 share at $43.85,43.80,$43.85 ,2020,Sell,Southwest Airlines ,43.8,-43.8,0,0,
1591,13-Nov-20,"Evergy Market SellNov 13, 2020",$141.502.5 shares at $56.60,141.50,$56.60 ,2020,Sell,Evergy ,141.5,-141.5,0,0,
1592,13-Nov-20,"AT&T Market SellNov 13, 2020",$188.086.5 shares at $28.94,188.00,$28.94 ,2020,Sell,AT&T ,188,-188,0,0,
1593,13-Nov-20,"Autodesk Market SellNov 13, 2020",$49.860.2 shares at $249.30,49.80,$249.30 ,2020,Sell,Autodesk ,49.8,-49.8,0,0,
1594,13-Nov-20,"ANSYS Market SellNov 13, 2020",$65.270.2 shares at $326.35,65.20,$326.35 ,2020,Sell,ANSYS ,65.2,-65.2,0,0,
1595,13-Nov-20,"Adobe Market SellNov 13, 2020",$140.310.3 shares at $467.70,140.30,$467.70 ,2020,Sell,Adobe ,140.3,-140.3,0,0,
1596,13-Nov-20,"Kimberly-Clark Market SellNov 13, 2020",$139.391 share at $139.39,139.30,$139.39 ,2020,Sell,Kimberly-Clark ,139.3,-139.3,0,0,
1597,13-Nov-20,"Dow Market SellNov 13, 2020",$51.901 share at $51.90,51.90,$51.90 ,2020,Sell,Dow ,51.9,-51.9,0,0,
1598,13-Nov-20,"Merck Market SellNov 13, 2020",$40.700.5 shares at $81.40,40.70,$81.40 ,2020,Sell,Merck ,40.7,-40.7,0,0,
1599,13-Nov-20,"CommScope Market SellNov 13, 2020",$107.4210 shares at $10.74,107.40,$10.74 ,2020,Sell,CommScope ,107.4,-107.4,0,0,
1600,13-Nov-20,"Cisco Systems Market SellNov 13, 2020",$206.965 shares at $41.39,206.90,$41.39 ,2020,Sell,Cisco Systems ,206.9,-206.9,0,0,
1601,13-Nov-20,"Pfizer Market SellNov 13, 2020",$76.942 shares at $38.47,76.90,$38.47 ,2020,Sell,Pfizer ,76.9,-76.9,0,0,
1602,13-Nov-20,"Swire Pacific Limit SellNov 13, 2020",$399.6072 shares at $5.55,399.60,$5.55 ,2020,Sell,Swire Pacific ,399.6,-399.6,0,0,
1604,13-Nov-20,"American Tower Market SellNov 13, 2020",$436.101.8 shares at $242.28,436.10,$242.28 ,2020,Sell,American Tower ,436.1,-436.1,0,0,
1605,13-Nov-20,"Johnson & Johnson Market SellNov 13, 2020",$74.940.5 shares at $149.88,74.90,$149.88 ,2020,Sell,Johnson & Johnson ,74.9,-74.9,0,0,
1606,13-Nov-20,"Johnson & Johnson Limit SellNov 13, 2020",$449.613 shares at $149.87,449.60,$149.87 ,2020,Sell,Johnson & Johnson ,449.6,-449.6,0,0,
1607,13-Nov-20,"SP Funds S&P 500 Sharia Limit SellNov 13, 2020",$363.7515 shares at $24.25,363.70,$24.25 ,2020,Sell,SP Funds S&P 500 Sharia ,363.7,-363.7,0,0,
1608,13-Nov-20,"Listed Funds Trust Wahed FTSE USA Shariah Limit SellNov 13, 2020",$315.1010 shares at $31.51,315.10,$31.51 ,2020,Sell,Listed Funds Trust Wahed FTSE USA Shariah ,315.1,-315.1,0,0,
1609,13-Nov-20,"Apple Market SellNov 13, 2020",$177.951.5 shares at $118.63,177.90,$118.63 ,2020,Sell,Apple ,177.9,-177.9,0,0,
1610,13-Nov-20,"Utilities Select Sector SPDR Fund Market SellNov 13, 2020",$343.585.2 shares at $66.07,343.50,$66.07 ,2020,Sell,Utilities Select Sector SPDR Fund ,343.5,-343.5,0,0,
1611,13-Nov-20,"IBM Market SellNov 13, 2020",$818.397 shares at $116.91,818.30,$116.91 ,2020,Sell,IBM ,818.3,-818.3,0,0,
1612,13-Nov-20,"Amazon Market SellNov 13, 2020","$620.400.2 shares at $3,102.00",620.40,"$3,102.00 ",2020,Sell,Amazon ,620.4,-620.4,0,0,
1613,13-Nov-20,"Microsoft Market SellNov 13, 2020",$129.850.6 shares at $216.42,129.80,$216.42 ,2020,Sell,Microsoft ,129.8,-129.8,0,0,
1614,13-Nov-20,"Microsoft Limit SellNov 13, 2020",$649.203 shares at $216.40,649.20,$216.40 ,2020,Sell,Microsoft ,649.2,-649.2,0,0,
1615,13-Nov-20,"Health Care Select Sector SPDR Fund Market SellNov 13, 2020",$561.105 shares at $112.22,561.10,$112.22 ,2020,Sell,Health Care Select Sector SPDR Fund ,561.1,-561.1,0,0,
1616,13-Nov-20,"Alphabet Class C Market SellNov 13, 2020","$1,776.531 share at $1,776.53",1776.50,"$1,776.53 ",2020,Sell,Alphabet Class C ,1776.5,-1776.5,0,0,
1617,13-Nov-20,"CommScope Market SellNov 13, 2020",$52.905 shares at $10.58,52.90,$10.58 ,2020,Sell,CommScope ,52.9,-52.9,0,0,
1620,13-Nov-20,"Alibaba Market BuyNov 13, 2020",$38.690.15 shares at $257.93,38.60,$257.93 ,2020,Buy,Alibaba ,38.6,0,0,38.6,
1621,13-Nov-20,"Alibaba Market BuyNov 13, 2020",$25.820.1 shares at $258.20,25.80,$258.20 ,2020,Buy,Alibaba ,25.8,0,0,25.8,
1622,13-Nov-20,"CRISPR Market SellNov 13, 2020",$52.180.5 shares at $104.36,52.10,$104.36 ,2020,Sell,CRISPR ,52.1,-52.1,0,0,
1624,12-Nov-20,"Air Products & Chemicals Market BuyNov 12, 2020",$26.840.1 shares at $268.40,26.80,$268.40 ,2020,Buy,Air Products & Chemicals ,26.8,0,0,26.8,
1626,12-Nov-20,"Air Products & Chemicals Market BuyNov 12, 2020",$27.340.1 shares at $273.40,27.30,$273.40 ,2020,Buy,Air Products & Chemicals ,27.3,0,0,27.3,
1627,12-Nov-20,"Evergy Market BuyNov 12, 2020",$27.900.5 shares at $55.80,27.90,$55.80 ,2020,Buy,Evergy ,27.9,0,0,27.9,
1632,11-Nov-20,"Pluralsight Market BuyNov 11, 2020",$14.901 share at $14.90,14.90,$14.90 ,2020,Buy,Pluralsight ,14.9,0,0,14.9,
1634,10-Nov-20,"Microsoft Market BuyNov 10, 2020",$21.050.1 shares at $210.50,21.00,$210.50 ,2020,Buy,Microsoft ,21,0,0,21,
1635,10-Nov-20,"Verizon Market SellNov 10, 2020",$61.031 share at $61.03,61.00,$61.03 ,2020,Sell,Verizon ,61,-61,0,0,
1636,10-Nov-20,"Atmos Energy Market SellNov 10, 2020",$101.621 share at $101.62,101.60,$101.62 ,2020,Sell,Atmos Energy ,101.6,-101.6,0,0,
1637,10-Nov-20,"Steelcase Market SellNov 10, 2020",$126.0910 shares at $12.61,126.00,$12.61 ,2020,Sell,Steelcase ,126,-126,0,0,
1638,10-Nov-20,"Sempra Market SellNov 10, 2020",$67.320.5 shares at $134.64,67.30,$134.64 ,2020,Sell,Sempra ,67.3,-67.3,0,0,
1639,10-Nov-20,"Materials Select Sector SPDR ETF Market SellNov 10, 2020",$35.050.5 shares at $70.10,35.00,$70.10 ,2020,Sell,Materials Select Sector SPDR ETF ,35,-35,0,0,
1640,10-Nov-20,"Simply Good Foods Market SellNov 10, 2020",$113.555 shares at $22.71,113.50,$22.71 ,2020,Sell,Simply Good Foods ,113.5,-113.5,0,0,
1641,10-Nov-20,"Union Pacific Market SellNov 10, 2020",$121.350.6 shares at $202.25,121.30,$202.25 ,2020,Sell,Union Pacific ,121.3,-121.3,0,0,
1643,10-Nov-20,"International Airlines Group Market SellNov 10, 2020",$126.0135 shares at $3.60,126.00,$3.60 ,2020,Sell,International Airlines Group ,126,-126,0,0,
1644,10-Nov-20,"Herman Miller Market SellNov 10, 2020",$180.455 shares at $36.09,180.40,$36.09 ,2020,Sell,Herman Miller ,180.4,-180.4,0,0,
1645,10-Nov-20,"GoodRx Market BuyNov 10, 2020",$20.060.4 shares at $50.15,20.00,$50.15 ,2020,Buy,GoodRx ,20,0,0,20,
1646,10-Nov-20,"Linde Market SellNov 10, 2020",$78.230.3 shares at $260.77,78.20,$260.77 ,2020,Sell,Linde ,78.2,-78.2,0,0,
1647,10-Nov-20,"Air Products & Chemicals Market SellNov 10, 2020",$31.350.1 shares at $313.50,31.30,$313.50 ,2020,Sell,Air Products & Chemicals ,31.3,-31.3,0,0,
1648,10-Nov-20,"Dominion Energy Market SellNov 10, 2020",$21.400.25 shares at $85.60,21.40,$85.60 ,2020,Sell,Dominion Energy ,21.4,-21.4,0,0,
1649,10-Nov-20,"Evergy Market SellNov 10, 2020",$59.101 share at $59.10,59.10,$59.10 ,2020,Sell,Evergy ,59.1,-59.1,0,0,
1650,10-Nov-20,"NiSource Market SellNov 10, 2020",$24.761 share at $24.76,24.70,$24.76 ,2020,Sell,NiSource ,24.7,-24.7,0,0,
1651,10-Nov-20,"Sempra Market SellNov 10, 2020",$66.960.5 shares at $133.92,66.90,$133.92 ,2020,Sell,Sempra ,66.9,-66.9,0,0,
1652,10-Nov-20,"Adobe Market BuyNov 10, 2020",$44.810.1 shares at $448.10,44.80,$448.10 ,2020,Buy,Adobe ,44.8,0,0,44.8,
1653,10-Nov-20,"Alibaba Market BuyNov 10, 2020",$67.610.25 shares at $270.44,67.60,$270.44 ,2020,Buy,Alibaba ,67.6,0,0,67.6,
1654,9-Nov-20,"Redfin Market BuyNov 9, 2020",$39.661 share at $39.66,39.60,$39.66 ,2020,Buy,Redfin ,39.6,0,0,39.6,
1657,9-Nov-20,"Redfin Market BuyNov 9, 2020",$42.061 share at $42.06,42.00,$42.06 ,2020,Buy,Redfin ,42,0,0,42,
1658,9-Nov-20,"Simply Good Foods Market SellNov 9, 2020",$45.862 shares at $22.93,45.80,$22.93 ,2020,Sell,Simply Good Foods ,45.8,-45.8,0,0,
1666,9-Nov-20,"Thor Industries Market BuyNov 9, 2020",$41.240.5 shares at $82.48,41.20,$82.48 ,2020,Buy,Thor Industries ,41.2,0,0,41.2,
1667,9-Nov-20,"Air Lease Market SellNov 9, 2020",$18.010.5 shares at $36.02,18.00,$36.02 ,2020,Sell,Air Lease ,18,-18,0,0,
1668,9-Nov-20,"AerCap Market SellNov 9, 2020",$18.060.5 shares at $36.12,18.00,$36.12 ,2020,Sell,AerCap ,18,-18,0,0,
1669,9-Nov-20,"Dow Market SellNov 9, 2020",$53.931 share at $53.93,53.90,$53.93 ,2020,Sell,Dow ,53.9,-53.9,0,0,
1671,9-Nov-20,"Vornado Realty Trust Market SellNov 9, 2020",$8.210.2 shares at $41.05,8.20,$41.05 ,2020,Sell,Vornado Realty Trust ,8.2,-8.2,0,0,
1672,9-Nov-20,"Listed Funds Trust Wahed FTSE USA Shariah Limit SellNov 9, 2020",$322.0010 shares at $32.20,322.00,$32.20 ,2020,Sell,Listed Funds Trust Wahed FTSE USA Shariah ,322,-322,0,0,
1673,9-Nov-20,"Health Care Select Sector SPDR Fund Market SellNov 9, 2020",$565.435 shares at $113.09,565.40,$113.09 ,2020,Sell,Health Care Select Sector SPDR Fund ,565.4,-565.4,0,0,
1674,9-Nov-20,"Utilities Select Sector SPDR Fund Market SellNov 9, 2020",$337.655 shares at $67.53,337.60,$67.53 ,2020,Sell,Utilities Select Sector SPDR Fund ,337.6,-337.6,0,0,
1675,9-Nov-20,"Herman Miller Market SellNov 9, 2020",$176.655 shares at $35.33,176.60,$35.33 ,2020,Sell,Herman Miller ,176.6,-176.6,0,0,
1676,6-Nov-20,"Pluralsight Market BuyNov 6, 2020",$29.132 shares at $14.57,29.10,$14.57 ,2020,Buy,Pluralsight ,29.1,0,0,29.1,
1677,4-Nov-20,"Nissan Market SellNov 4, 2020",$29.684 shares at $7.42,29.60,$7.42 ,2020,Sell,Nissan ,29.6,-29.6,0,0,
1678,4-Nov-20,"Cardinal Health Market SellNov 4, 2020",$10.130.2 shares at $50.65,10.10,$50.65 ,2020,Sell,Cardinal Health ,10.1,-10.1,0,0,
1679,4-Nov-20,"CVS Market SellNov 4, 2020",$61.271 share at $61.27,61.20,$61.27 ,2020,Sell,CVS ,61.2,-61.2,0,0,
1680,4-Nov-20,"Walgreens Market SellNov 4, 2020",$37.431 share at $37.43,37.40,$37.43 ,2020,Sell,Walgreens ,37.4,-37.4,0,0,
1681,4-Nov-20,"CRISPR Market SellNov 4, 2020",$48.120.5 shares at $96.24,48.10,$96.24 ,2020,Sell,CRISPR ,48.1,-48.1,0,0,
1682,4-Nov-20,"Applied Materials Market SellNov 4, 2020",$6.390.1 shares at $63.90,6.30,$63.90 ,2020,Sell,Applied Materials ,6.3,-6.3,0,0,
1683,4-Nov-20,"Pfizer Market SellNov 4, 2020",$76.002 shares at $38.00,76.00,$38.00 ,2020,Sell,Pfizer ,76,-76,0,0,
1684,4-Nov-20,"Air Lease Market SellNov 4, 2020",$29.391 share at $29.39,29.30,$29.39 ,2020,Sell,Air Lease ,29.3,-29.3,0,0,
1685,4-Nov-20,"AerCap Market SellNov 4, 2020",$27.131 share at $27.13,27.10,$27.13 ,2020,Sell,AerCap ,27.1,-27.1,0,0,
1686,4-Nov-20,"Adobe Market SellNov 4, 2020",$48.770.1 shares at $487.70,48.70,$487.70 ,2020,Sell,Adobe ,48.7,-48.7,0,0,
1687,4-Nov-20,"Linde Market SellNov 4, 2020",$70.640.3 shares at $235.47,70.60,$235.47 ,2020,Sell,Linde ,70.6,-70.6,0,0,
1688,4-Nov-20,"Union Pacific Market SellNov 4, 2020",$114.170.6 shares at $190.28,114.10,$190.28 ,2020,Sell,Union Pacific ,114.1,-114.1,0,0,
1689,4-Nov-20,"Merck Market SellNov 4, 2020",$41.110.5 shares at $82.22,41.10,$82.22 ,2020,Sell,Merck ,41.1,-41.1,0,0,
1690,4-Nov-20,"Microsoft Market SellNov 4, 2020",$216.861 share at $216.86,216.80,$216.86 ,2020,Sell,Microsoft ,216.8,-216.8,0,0,
1691,4-Nov-20,"Health Care Select Sector SPDR Fund Market SellNov 4, 2020",$110.461 share at $110.46,110.40,$110.46 ,2020,Sell,Health Care Select Sector SPDR Fund ,110.4,-110.4,0,0,
1692,4-Nov-20,"Alphabet Class C Market SellNov 4, 2020","$528.790.3 shares at $1,762.63",528.70,"$1,762.63 ",2020,Sell,Alphabet Class C ,528.7,-528.7,0,0,
1693,4-Nov-20,"Emcor Market SellNov 4, 2020",$14.360.2 shares at $71.80,14.30,$71.80 ,2020,Sell,Emcor ,14.3,-14.3,0,0,
1694,4-Nov-20,"CommScope Market SellNov 4, 2020",$48.665 shares at $9.73,48.60,$9.73 ,2020,Sell,CommScope ,48.6,-48.6,0,0,
1695,4-Nov-20,"American Tower Limit SellNov 4, 2020",$962.404 shares at $240.60,962.40,$240.60 ,2020,Sell,American Tower ,962.4,-962.4,0,0,
1696,4-Nov-20,"American Tower Limit BuyNov 4, 2020",$481.202 shares at $240.60,481.20,$240.60 ,2020,Buy,American Tower ,481.2,0,0,481.2,
1697,4-Nov-20,"Health Care Select Sector SPDR Fund Market SellNov 4, 2020",$551.565 shares at $110.31,551.50,$110.31 ,2020,Sell,Health Care Select Sector SPDR Fund ,551.5,-551.5,0,0,
1698,3-Nov-20,"Canon Market SellNov 3, 2020",$72.444 shares at $18.11,72.40,$18.11 ,2020,Sell,Canon ,72.4,-72.4,0,0,
1699,3-Nov-20,"Alibaba Market SellNov 3, 2020",$171.740.6 shares at $286.23,171.70,$286.23 ,2020,Sell,Alibaba ,171.7,-171.7,0,0,
1700,3-Nov-20,"Honda Limit SellNov 3, 2020",$24.831 share at $24.83,24.80,$24.83 ,2020,Sell,Honda ,24.8,-24.8,0,0,
1701,3-Nov-20,"Alibaba Market BuyNov 3, 2020",$28.170.1 shares at $281.70,28.10,$281.70 ,2020,Buy,Alibaba ,28.1,0,0,28.1,
1702,2-Nov-20,"Amcor PLC Market SellNov 2, 2020",$21.642 shares at $10.82,21.60,$10.82 ,2020,Sell,Amcor PLC ,21.6,-21.6,0,0,
1703,2-Nov-20,"Oneok Market SellNov 2, 2020",$8.820.3 shares at $29.40,8.80,$29.40 ,2020,Sell,Oneok ,8.8,-8.8,0,0,
1704,2-Nov-20,"Naspers Market SellNov 2, 2020",$15.770.4 shares at $39.43,15.70,$39.43 ,2020,Sell,Naspers ,15.7,-15.7,0,0,
1705,2-Nov-20,"Panasonic Limit SellNov 2, 2020",$46.855 shares at $9.37,46.80,$9.37 ,2020,Sell,Panasonic ,46.8,-46.8,0,0,
1706,30-Oct-20,"American Tower Market BuyOct 30, 2020",$68.180.3 shares at $227.27,68.10,$227.27 ,2020,Buy,American Tower ,68.1,0,0,68.1,
1707,30-Oct-20,"American Tower Market BuyOct 30, 2020",$68.210.3 shares at $227.37,68.20,$227.37 ,2020,Buy,American Tower ,68.2,0,0,68.2,
1708,30-Oct-20,"Health Care Select Sector SPDR Fund Market BuyOct 30, 2020",$100.641 share at $100.64,100.60,$100.64 ,2020,Buy,Health Care Select Sector SPDR Fund ,100.6,0,0,100.6,
1709,30-Oct-20,"Johnson & Johnson Market BuyOct 30, 2020",$67.570.5 shares at $135.14,67.50,$135.14 ,2020,Buy,Johnson & Johnson ,67.5,0,0,67.5,
1710,30-Oct-20,"Steelcase Market BuyOct 30, 2020",$41.584 shares at $10.40,41.50,$10.40 ,2020,Buy,Steelcase ,41.5,0,0,41.5,
1711,30-Oct-20,"Kimberly-Clark Market BuyOct 30, 2020",$39.510.3 shares at $131.70,39.50,$131.70 ,2020,Buy,Kimberly-Clark ,39.5,0,0,39.5,
1712,30-Oct-20,"Intel Market BuyOct 30, 2020",$65.581.5 shares at $43.72,65.50,$43.72 ,2020,Buy,Intel ,65.5,0,0,65.5,
1713,30-Oct-20,"Swire Pacific Market BuyOct 30, 2020",$100.9822 shares at $4.59,100.90,$4.59 ,2020,Buy,Swire Pacific ,100.9,0,0,100.9,
1714,30-Oct-20,"Tesla Market BuyOct 30, 2020",$38.240.1 shares at $382.40,38.20,$382.40 ,2020,Buy,Tesla ,38.2,0,0,38.2,
1715,30-Oct-20,"AerCap Market BuyOct 30, 2020",$43.881.8 shares at $24.38,43.80,$24.38 ,2020,Buy,AerCap ,43.8,0,0,43.8,
1716,30-Oct-20,"Air Lease Market BuyOct 30, 2020",$40.121.5 shares at $26.75,40.10,$26.75 ,2020,Buy,Air Lease ,40.1,0,0,40.1,
1717,30-Oct-20,"FLY Leasing Market BuyOct 30, 2020",$58.9510 shares at $5.90,58.90,$5.90 ,2020,Buy,FLY Leasing ,58.9,0,0,58.9,
1718,30-Oct-20,"Redfin Market BuyOct 30, 2020",$42.341 share at $42.34,42.30,$42.34 ,2020,Buy,Redfin ,42.3,0,0,42.3,
1719,30-Oct-20,"Deposit from Checking (non-interest)Oct 30, 2020",$500.00 ,,,2020,Deposit,N/A,,0,0,0,
1720,30-Oct-20,"Costco Market BuyOct 30, 2020",$71.690.2 shares at $358.45,71.60,$358.45 ,2020,Buy,Costco ,71.6,0,0,71.6,
1721,30-Oct-20,"Listed Funds Trust Wahed FTSE USA Shariah Limit BuyOct 30, 2020",$57.402 shares at $28.70,57.40,$28.70 ,2020,Buy,Listed Funds Trust Wahed FTSE USA Shariah ,57.4,0,0,57.4,
1722,30-Oct-20,"Air Lease Market BuyOct 30, 2020",$13.640.5 shares at $27.28,13.60,$27.28 ,2020,Buy,Air Lease ,13.6,0,0,13.6,
1723,30-Oct-20,"AerCap Market BuyOct 30, 2020",$4.980.2 shares at $24.90,4.90,$24.90 ,2020,Buy,AerCap ,4.9,0,0,4.9,
1724,30-Oct-20,"Adobe Market BuyOct 30, 2020",$44.550.1 shares at $445.50,44.50,$445.50 ,2020,Buy,Adobe ,44.5,0,0,44.5,
1725,30-Oct-20,"Apple Market BuyOct 30, 2020",$54.770.5 shares at $109.54,54.70,$109.54 ,2020,Buy,Apple ,54.7,0,0,54.7,
1726,30-Oct-20,"Autodesk Market BuyOct 30, 2020",$23.480.1 shares at $234.80,23.40,$234.80 ,2020,Buy,Autodesk ,23.4,0,0,23.4,
1727,30-Oct-20,"ANSYS Market BuyOct 30, 2020",$30.180.1 shares at $301.80,30.10,$301.80 ,2020,Buy,ANSYS ,30.1,0,0,30.1,
1728,30-Oct-20,"Microsoft Market BuyOct 30, 2020",$100.080.5 shares at $200.16,100.00,$200.16 ,2020,Buy,Microsoft ,100,0,0,100,
1729,30-Oct-20,"Adobe Market BuyOct 30, 2020",$44.960.1 shares at $449.60,44.90,$449.60 ,2020,Buy,Adobe ,44.9,0,0,44.9,
1730,30-Oct-20,"Entergy Market BuyOct 30, 2020",$20.150.2 shares at $100.75,20.10,$100.75 ,2020,Buy,Entergy ,20.1,0,0,20.1,
1731,30-Oct-20,"Simply Good Foods Limit BuyOct 30, 2020",$18.801 share at $18.80,18.80,$18.80 ,2020,Buy,Simply Good Foods ,18.8,0,0,18.8,
1732,30-Oct-20,"Johnson & Johnson Market BuyOct 30, 2020",$95.600.7 shares at $136.57,95.60,$136.57 ,2020,Buy,Johnson & Johnson ,95.6,0,0,95.6,
1733,29-Oct-20,"Fastly Market BuyOct 29, 2020",$13.580.2 shares at $67.90,13.50,$67.90 ,2020,Buy,Fastly ,13.5,0,0,13.5,
1734,29-Oct-20,"Entergy Market BuyOct 29, 2020",$20.200.2 shares at $101.00,20.20,$101.00 ,2020,Buy,Entergy ,20.2,0,0,20.2,
1735,29-Oct-20,"Simply Good Foods Market BuyOct 29, 2020",$18.831 share at $18.83,18.80,$18.83 ,2020,Buy,Simply Good Foods ,18.8,0,0,18.8,
1736,29-Oct-20,"Kimberly-Clark Market BuyOct 29, 2020",$13.110.1 shares at $131.10,13.10,$131.10 ,2020,Buy,Kimberly-Clark ,13.1,0,0,13.1,
1738,29-Oct-20,"Amcor PLC Market BuyOct 29, 2020",$10.411 share at $10.41,10.40,$10.41 ,2020,Buy,Amcor PLC ,10.4,0,0,10.4,
1739,29-Oct-20,"Atmos Energy Market BuyOct 29, 2020",$27.300.3 shares at $91.00,27.30,$91.00 ,2020,Buy,Atmos Energy ,27.3,0,0,27.3,
1740,28-Oct-20,"Adobe Market BuyOct 28, 2020",$45.910.1 shares at $459.10,45.90,$459.10 ,2020,Buy,Adobe ,45.9,0,0,45.9,
1741,28-Oct-20,"Materials Select Sector SPDR ETF Market BuyOct 28, 2020",$31.170.5 shares at $62.34,31.10,$62.34 ,2020,Buy,Materials Select Sector SPDR ETF ,31.1,0,0,31.1,
1742,28-Oct-20,"Union Pacific Market BuyOct 28, 2020",$34.800.2 shares at $174.00,34.80,$174.00 ,2020,Buy,Union Pacific ,34.8,0,0,34.8,
1743,28-Oct-20,"IBM Market BuyOct 28, 2020",$53.070.5 shares at $106.14,53.00,$106.14 ,2020,Buy,IBM ,53,0,0,53,
